№;Дата и время;Секунда;Микросекунда
181;2023-05-12 21:04:13.224784;13;224784
182;2023-05-12 21:04:13.240199;13;240199
183;2023-05-12 21:04:13.255522;13;255522
184;2023-05-12 21:04:13.270798;13;270798
185;2023-05-12 21:04:13.286218;13;286218
186;2023-05-12 21:04:13.301683;13;301683
187;2023-05-12 21:04:13.316959;13;316959
188;2023-05-12 21:04:13.332416;13;332416
189;2023-05-12 21:04:13.348049;13;348049
190;2023-05-12 21:04:13.363384;13;363384
191;2023-05-12 21:04:13.378832;13;378832
192;2023-05-12 21:04:13.394056;13;394056
193;2023-05-12 21:04:13.409256;13;409256
194;2023-05-12 21:04:13.424455;13;424455
195;2023-05-12 21:04:13.439832;13;439832
196;2023-05-12 21:04:13.455189;13;455189
197;2023-05-12 21:04:13.470651;13;470651
198;2023-05-12 21:04:13.486013;13;486013
199;2023-05-12 21:04:13.501391;13;501391
200;2023-05-12 21:04:13.517292;13;517292
201;2023-05-12 21:04:13.532575;13;532575
202;2023-05-12 21:04:13.547911;13;547911
203;2023-05-12 21:04:13.563162;13;563162
204;2023-05-12 21:04:13.578563;13;578563
205;2023-05-12 21:04:13.594348;13;594348
206;2023-05-12 21:04:13.609453;13;609453
207;2023-05-12 21:04:13.624829;13;624829
208;2023-05-12 21:04:13.639602;13;639602
209;2023-05-12 21:04:13.655306;13;655306
210;2023-05-12 21:04:13.672084;13;672084
211;2023-05-12 21:04:13.686229;13;686229
212;2023-05-12 21:04:13.702324;13;702324
213;2023-05-12 21:04:13.717673;13;717673
214;2023-05-12 21:04:13.733494;13;733494
215;2023-05-12 21:04:13.748551;13;748551
216;2023-05-12 21:04:13.764658;13;764658
217;2023-05-12 21:04:13.779375;13;779375
218;2023-05-12 21:04:13.794808;13;794808
219;2023-05-12 21:04:13.810434;13;810434
220;2023-05-12 21:04:13.825868;13;825868
221;2023-05-12 21:04:13.841244;13;841244
222;2023-05-12 21:04:13.856734;13;856734
223;2023-05-12 21:04:13.872162;13;872162
224;2023-05-12 21:04:13.887534;13;887534
225;2023-05-12 21:04:13.902887;13;902887
226;2023-05-12 21:04:13.918097;13;918097
227;2023-05-12 21:04:13.933410;13;933410
228;2023-05-12 21:04:13.948799;13;948799
229;2023-05-12 21:04:13.964093;13;964093
230;2023-05-12 21:04:13.980016;13;980016
231;2023-05-12 21:04:13.995203;13;995203
232;2023-05-12 21:04:14.011121;14;11121
233;2023-05-12 21:04:14.026123;14;26123
234;2023-05-12 21:04:14.042118;14;42118
235;2023-05-12 21:04:14.058124;14;58124
236;2023-05-12 21:04:14.074119;14;74119
237;2023-05-12 21:04:14.090123;14;90123
238;2023-05-12 21:04:14.106122;14;106122
239;2023-05-12 21:04:14.121397;14;121397
240;2023-05-12 21:04:14.137316;14;137316
241;2023-05-12 21:04:14.152308;14;152308
242;2023-05-12 21:04:14.167607;14;167607
243;2023-05-12 21:04:14.183443;14;183443
244;2023-05-12 21:04:14.198653;14;198653
245;2023-05-12 21:04:14.214251;14;214251
246;2023-05-12 21:04:14.230258;14;230258
247;2023-05-12 21:04:14.246234;14;246234
248;2023-05-12 21:04:14.261683;14;261683
249;2023-05-12 21:04:14.276927;14;276927
250;2023-05-12 21:04:14.292421;14;292421
251;2023-05-12 21:04:14.308032;14;308032
252;2023-05-12 21:04:14.323522;14;323522
253;2023-05-12 21:04:14.338767;14;338767
254;2023-05-12 21:04:14.354503;14;354503
255;2023-05-12 21:04:14.370161;14;370161
256;2023-05-12 21:04:14.386114;14;386114
257;2023-05-12 21:04:14.402161;14;402161
258;2023-05-12 21:04:14.417811;14;417811
259;2023-05-12 21:04:14.433192;14;433192
